Titulo,Autor,Ano
Del Sasser,Sam Jones,1960
Der Pariser Tango,Christian Bruhn,1971
Desafinado,Antônio Carlos Jobim,1959
Detour Ahead,Herb Ellis / Johnny Frigo / Lou Carter,1948
Dig-a-dig-a-doo,Jimmy McHugh / Dorothy Fields,1928
Dinah,Ethel Waters,1925
Dindi,Antônio Carlos Jobim / Aloysio de Oliveira,1959
Do Nothing till You Hear from Me,Duke Ellington / Bob Russell,1940
Do You Know What It Means To Miss New Orleans,Eddie DeLange / Louis Alter,1947
Doctor Jazz,Joe “King” Oliver,1926
Dolphin Dance,Herbie Hancock,1965
Domino,Louis Ferrari / Jacques Plante / Don Raye,1950
Donna Lee,Charlie Parker / Miles Davis,1947
Don`t Be That Way,Benny Goodman / Edgar Sampson,1938
Don’t Blame Me,Jimmy McHugh / Dorothy Fields,1933
Don’t Fence Me In,Cole Porter / Robert Fletcher,1934
Don’t Get Around Much Anymore,Duke Ellington / Bob Russell,1940
Don’t Know Why,Jesse Harris,1999
Don’t Let The Sun Catch You Cryin’,Joe Greene,1966
"Don’t Worry, Be Happy",Bobby McFerrin,1988
Down By The Riverside,,
Doxy,Sonny Rollins,1954
Dream a Little Dream of Me,Fabian Andre /Wilbur Schwandt / Gus Kahn,1931
Dream Dancing,Cole Porter,1941
Drop Me Off in Harlem,Duke Ellington / Nick Kenny,1933
E.S.P.,Wayne Shorter,1964
Early Autumn,Ralph Burns / Woody Herman / Johnny Mercer,1949
Ease Away Walk,Benny Golson,1983
East of the Sun,Brooks Bowman,1934
Easy Living,Ralph Rainger / Leo Robin,1937
Ebb Tide,Carl Sigman / Robert Maxwell,1953
Eine Kleine Nachtmusik,Wolfgang Amadeus Mozart,
Elizete,,
Elmer’s Tune,Elmer Albrecht / Dick Jurgens / Sammy Gallop,1941
Embraceable You,,
Emily,Johnny Mandel / Johnny Mercer,1964
Emmanuelle,Pierre Bachelet,1974
Epistrophy,Thelonious Monk / Kenny Clarke,1941
Estate,Bruno Martino / Bruno Brighetti,1960
Et si tu n’existais pas,Pierre Delanoë / Claude Lemesle / Vito Pallavicini / Toto Cutugno / Pasquale Losito,1975
Europa (Earth’s Cry Heaven’s Smile),Carlos Santana / Tom Coster,1976
Every Day I Have The Blues,Aaron “Pinetop” Sparks / Milton Sparks,1935
Everybody Loves My Baby,Spencer Williams / Jack Palmer,1924
Everybody’s Song But My Own,Kenny Wheeler / Norma Winstone,1988
Everything But You,Duke Ellington,1945
Everything Happens to Me,Matt Dennis / Tom Adair,1940
Ev’ry Time We Say Goodbye,Cole Porter,1944
Ev’rything I Love,Cole Porter,1941
Exactly Like You,Jimmy McHugh / Dorothy Fields,1930
Faithful Hussar,,
Fascinating Rhythm,George Gershwin / Ira Gershwin,1924
Fee-Fi-Fo-Fum,Wayne Shorter,1966
Feeling Good,Anthony Newley / Leslie Bricusse,1964
Feelings,Morris Albert / Louis Gaste,1974
Five Brothers,,
Фиксики,,
Flamingo,Ted Grouya / Edmund Anderson,1940
